ref_date,indicator,year,value
2023-01-06,IPCA,2022,5.62
2023-01-06,IPCA,2023,5.36
2023-01-06,IPCA,2024,3.7
2023-01-06,IPCA,2025,3.3
2023-01-06,PIB,2022,3.03
2023-01-06,PIB,2023,0.78
2023-01-06,PIB,2024,1.5
2023-01-06,PIB,2025,1.9
2023-01-06,IPCA Administrados,2022,-3.89
2023-01-06,IPCA Administrados,2023,6.79
2023-01-06,IPCA Administrados,2024,4.0
2023-01-06,IPCA Administrados,2025,3.5
2023-01-06,Conta Corrente,2022,-50.5
2023-01-06,Conta Corrente,2023,-46.55
2023-01-06,Conta Corrente,2024,-45.0
2023-01-06,Conta Corrente,2025,-45.0
2023-01-06,Investimento Direto,2022,84.5
2023-01-06,Investimento Direto,2023,80.0
2023-01-06,Investimento Direto,2024,80.0
2023-01-06,Investimento Direto,2025,80.0
2023-01-06,Dívida Líquida,2022,57.5
2023-01-06,Dívida Líquida,2023,61.95
2023-01-06,Dívida Líquida,2024,64.5
2023-01-06,Dívida Líquida,2025,67.6
2023-01-06,Resultado Primário,2022,1.2
2023-01-06,Resultado Primário,2023,-1.2
2023-01-06,Resultado Primário,2024,-1.0
2023-01-06,Resultado Primário,2025,-0.7
2023-01-06,Resultado Nominal,2022,-5.2
2023-01-06,Resultado Nominal,2023,-8.5
2023-01-06,Resultado Nominal,2024,-6.9
2023-01-06,Resultado Nominal,2025,-6.1
2023-01-13,IPCA,2023,5.39
2023-01-13,IPCA,2024,3.7
2023-01-13,IPCA,2025,3.5
2023-01-13,IPCA,2026,3.22
2023-01-13,PIB,2023,0.77
2023-01-13,PIB,2024,1.5
2023-01-13,PIB,2025,1.9
2023-01-13,PIB,2026,2.0
2023-01-13,Câmbio,2023,5.28
2023-01-13,Câmbio,2024,5.3
2023-01-13,Câmbio,2025,5.3
2023-01-13,Câmbio,2026,5.35
2023-01-13,Selic,2023,12.5
2023-01-13,Selic,2024,9.25
2023-01-13,Selic,2025,8.25
2023-01-13,Selic,2026,8.0
2023-01-13,IGP-M,2023,4.67
2023-01-13,IGP-M,2024,4.03
2023-01-13,IGP-M,2025,3.74
2023-01-13,IGP-M,2026,3.66
2023-01-13,IPCA Administrados,2023,6.95
2023-01-13,IPCA Administrados,2024,4.0
2023-01-13,IPCA Administrados,2025,3.5
2023-01-13,IPCA Administrados,2026,3.5
2023-01-13,Conta Corrente,2023,-46.0
2023-01-13,Conta Corrente,2024,-45.0
2023-01-13,Conta Corrente,2025,-45.3
2023-01-13,Conta Corrente,2026,-46.0
2023-01-13,Balança Comercial,2023,57.2
2023-01-13,Balança Comercial,2024,52.4
2023-01-13,Balança Comercial,2025,55.0
2023-01-13,Balança Comercial,2026,54.0
2023-01-13,Investimento Direto,2023,80.0
2023-01-13,Investimento Direto,2024,77.5
2023-01-13,Investimento Direto,2025,80.0
2023-01-13,Investimento Direto,2026,85.0
2023-01-13,Dívida Líquida,2023,61.85
2023-01-13,Dívida Líquida,2024,64.33
2023-01-13,Dívida Líquida,2025,67.3
2023-01-13,Dívida Líquida,2026,71.0
2023-01-13,Resultado Primário,2023,-1.19
2023-01-13,Resultado Primário,2024,-1.0
2023-01-13,Resultado Primário,2025,-0.65
2023-01-13,Resultado Primário,2026,-0.5
2023-01-13,Resultado Nominal,2023,-8.25
2023-01-13,Resultado Nominal,2024,-6.9
2023-01-13,Resultado Nominal,2025,-6.2
2023-01-13,Resultado Nominal,2026,-6.0
2023-01-20,IPCA,2023,5.48
2023-01-20,IPCA,2024,3.84
2023-01-20,IPCA,2025,3.5
2023-01-20,IPCA,2026,3.47
2023-01-20,PIB,2023,0.79
2023-01-20,PIB,2024,1.5
2023-01-20,PIB,2025,1.9
2023-01-20,PIB,2026,2.0
2023-01-20,Câmbio,2023,5.28
2023-01-20,Câmbio,2024,5.3
2023-01-20,Câmbio,2025,5.3
2023-01-20,Câmbio,2026,5.3
2023-01-20,Selic,2023,12.5
2023-01-20,Selic,2024,9.5
2023-01-20,Selic,2025,8.5
2023-01-20,Selic,2026,8.25
2023-01-20,IGP-M,2023,4.69
2023-01-20,IGP-M,2024,4.03
2023-01-20,IGP-M,2025,3.79
2023-01-20,IGP-M,2026,3.8
2023-01-20,IPCA Administrados,2023,7.25
2023-01-20,IPCA Administrados,2024,4.12
2023-01-20,IPCA Administrados,2025,3.58
2023-01-20,IPCA Administrados,2026,3.5
2023-01-20,Conta Corrente,2023,-46.0
2023-01-20,Conta Corrente,2024,-45.0
2023-01-20,Conta Corrente,2025,-45.5
2023-01-20,Conta Corrente,2026,-45.5
2023-01-20,Balança Comercial,2023,58.0
2023-01-20,Balança Comercial,2024,52.4
2023-01-20,Balança Comercial,2025,56.2
2023-01-20,Balança Comercial,2026,55.0
2023-01-20,Investimento Direto,2023,80.0
2023-01-20,Investimento Direto,2024,77.5
2023-01-20,Investimento Direto,2025,80.0
2023-01-20,Investimento Direto,2026,85.0
2023-01-20,Dívida Líquida,2023,61.6
2023-01-20,Dívida Líquida,2024,64.2
2023-01-20,Dívida Líquida,2025,66.9
2023-01-20,Dívida Líquida,2026,70.3
2023-01-20,Resultado Primário,2023,-1.11
2023-01-20,Resultado Primário,2024,-1.0
2023-01-20,Resultado Primário,2025,-0.55
2023-01-20,Resultado Primário,2026,-0.48
2023-01-20,Resultado Nominal,2023,-8.35
2023-01-20,Resultado Nominal,2024,-7.22
2023-01-20,Resultado Nominal,2025,-6.2
2023-01-20,Resultado Nominal,2026,-6.25
2023-01-27,IPCA,2023,5.74
2023-01-27,IPCA,2024,3.9
2023-01-27,IPCA,2025,3.5
2023-01-27,IPCA,2026,3.5
2023-01-27,PIB,2023,0.8
2023-01-27,PIB,2024,1.5
2023-01-27,PIB,2025,1.89
2023-01-27,PIB,2026,2.0
2023-01-27,Câmbio,2023,5.25
2023-01-27,Câmbio,2024,5.3
2023-01-27,Câmbio,2025,5.3
2023-01-27,Câmbio,2026,5.3
2023-01-27,Selic,2023,12.5
2023-01-27,Selic,2024,9.5
2023-01-27,Selic,2025,8.5
2023-01-27,Selic,2026,8.5
2023-01-27,IGP-M,2023,4.67
2023-01-27,IGP-M,2024,4.03
2023-01-27,IGP-M,2025,3.99
2023-01-27,IGP-M,2026,3.95
2023-01-27,IPCA Administrados,2023,8.39
2023-01-27,IPCA Administrados,2024,4.2
2023-01-27,IPCA Administrados,2025,3.67
2023-01-27,IPCA Administrados,2026,3.5
2023-01-27,Conta Corrente,2023,-46.0
2023-01-27,Conta Corrente,2024,-45.0
2023-01-27,Conta Corrente,2025,-48.0
2023-01-27,Conta Corrente,2026,-45.5
2023-01-27,Balança Comercial,2023,57.6
2023-01-27,Balança Comercial,2024,52.4
2023-01-27,Balança Comercial,2025,56.2
2023-01-27,Balança Comercial,2026,53.8
2023-01-27,Investimento Direto,2023,80.0
2023-01-27,Investimento Direto,2024,80.0
2023-01-27,Investimento Direto,2025,83.6
2023-01-27,Investimento Direto,2026,85.0
2023-01-27,Dívida Líquida,2023,61.4
2023-01-27,Dívida Líquida,2024,64.39
2023-01-27,Dívida Líquida,2025,66.7
2023-01-27,Dívida Líquida,2026,69.26
2023-01-27,Resultado Primário,2023,-1.1
2023-01-27,Resultado Primário,2024,-1.0
2023-01-27,Resultado Primário,2025,-0.45
2023-01-27,Resultado Primário,2026,-0.3
2023-01-27,Resultado Nominal,2023,-8.45
2023-01-27,Resultado Nominal,2024,-7.15
2023-01-27,Resultado Nominal,2025,-6.2
2023-01-27,Resultado Nominal,2026,-6.19
2023-02-03,IPCA,2023,5.78
2023-02-03,IPCA,2024,3.93
2023-02-03,IPCA,2025,3.5
2023-02-03,IPCA,2026,3.5
2023-02-03,PIB,2023,0.79
2023-02-03,PIB,2024,1.5
2023-02-03,PIB,2025,1.89
2023-02-03,PIB,2026,2.0
2023-02-03,Câmbio,2023,5.25
2023-02-03,Câmbio,2024,5.3
2023-02-03,Câmbio,2025,5.3
2023-02-03,Câmbio,2026,5.3
2023-02-03,Selic,2023,12.5
2023-02-03,Selic,2024,9.75
2023-02-03,Selic,2025,9.0
2023-02-03,Selic,2026,8.5
2023-02-03,IGP-M,2023,4.6
2023-02-03,IGP-M,2024,4.07
2023-02-03,IGP-M,2025,3.99
2023-02-03,IGP-M,2026,3.75
2023-02-03,IPCA Administrados,2023,8.44
2023-02-03,IPCA Administrados,2024,4.24
2023-02-03,IPCA Administrados,2025,3.67
2023-02-03,IPCA Administrados,2026,3.5
2023-02-03,Conta Corrente,2023,-47.0
2023-02-03,Conta Corrente,2024,-50.0
2023-02-03,Conta Corrente,2025,-46.0
2023-02-03,Conta Corrente,2026,-45.25
2023-02-03,Balança Comercial,2023,57.6
2023-02-03,Balança Comercial,2024,53.9
2023-02-03,Balança Comercial,2025,55.6
2023-02-03,Balança Comercial,2026,54.4
2023-02-03,Investimento Direto,2023,80.0
2023-02-03,Investimento Direto,2024,80.0
2023-02-03,Investimento Direto,2025,83.8
2023-02-03,Investimento Direto,2026,85.0
2023-02-03,Dívida Líquida,2023,61.45
2023-02-03,Dívida Líquida,2024,64.38
2023-02-03,Dívida Líquida,2025,66.6
2023-02-03,Dívida Líquida,2026,68.1
2023-02-03,Resultado Primário,2023,-1.1
2023-02-03,Resultado Primário,2024,-1.0
2023-02-03,Resultado Primário,2025,-0.5
2023-02-03,Resultado Primário,2026,-0.29
2023-02-03,Resultado Nominal,2023,-8.1
2023-02-03,Resultado Nominal,2024,-7.05
2023-02-03,Resultado Nominal,2025,-6.0
2023-02-03,Resultado Nominal,2026,-6.17
2023-02-10,IPCA,2023,5.79
2023-02-10,IPCA,2024,4.0
2023-02-10,IPCA,2025,3.6
2023-02-10,IPCA,2026,3.5
2023-02-10,PIB,2023,0.76
2023-02-10,PIB,2024,1.5
2023-02-10,PIB,2025,1.85
2023-02-10,PIB,2026,2.0
2023-02-10,Câmbio,2023,5.25
2023-02-10,Câmbio,2024,5.3
2023-02-10,Câmbio,2025,5.3
2023-02-10,Câmbio,2026,5.33
2023-02-10,Selic,2023,12.75
2023-02-10,Selic,2024,10.0
2023-02-10,Selic,2025,9.0
2023-02-10,Selic,2026,8.5
2023-02-10,IGP-M,2023,4.6
2023-02-10,IGP-M,2024,4.07
2023-02-10,IGP-M,2025,3.99
2023-02-10,IGP-M,2026,3.6
2023-02-10,IPCA Administrados,2023,8.53
2023-02-10,IPCA Administrados,2024,4.29
2023-02-10,IPCA Administrados,2025,3.67
2023-02-10,IPCA Administrados,2026,3.5
2023-02-10,Conta Corrente,2023,-50.0
2023-02-10,Conta Corrente,2024,-50.0
2023-02-10,Conta Corrente,2025,-46.0
2023-02-10,Conta Corrente,2026,-45.2
2023-02-10,Balança Comercial,2023,57.2
2023-02-10,Balança Comercial,2024,56.5
2023-02-10,Balança Comercial,2025,56.41
2023-02-10,Balança Comercial,2026,55.8
2023-02-10,Investimento Direto,2023,80.0
2023-02-10,Investimento Direto,2024,80.0
2023-02-10,Investimento Direto,2025,81.8
2023-02-10,Investimento Direto,2026,85.0
2023-02-10,Dívida Líquida,2023,61.5
2023-02-10,Dívida Líquida,2024,64.0
2023-02-10,Dívida Líquida,2025,66.2
2023-02-10,Dívida Líquida,2026,67.8
2023-02-10,Resultado Primário,2023,-1.1
2023-02-10,Resultado Primário,2024,-0.9
2023-02-10,Resultado Primário,2025,-0.44
2023-02-10,Resultado Primário,2026,-0.28
2023-02-10,Resultado Nominal,2023,-8.0
2023-02-10,Resultado Nominal,2024,-7.11
2023-02-10,Resultado Nominal,2025,-6.0
2023-02-10,Resultado Nominal,2026,-6.2
2023-02-17,IPCA,2023,5.89
2023-02-17,IPCA,2024,4.02
2023-02-17,IPCA,2025,3.78
2023-02-17,IPCA,2026,3.7
2023-02-17,PIB,2023,0.8
2023-02-17,PIB,2024,1.5
2023-02-17,PIB,2025,1.8
2023-02-17,PIB,2026,2.0
2023-02-17,Câmbio,2023,5.25
2023-02-17,Câmbio,2024,5.29
2023-02-17,Câmbio,2025,5.3
2023-02-17,Câmbio,2026,5.3
2023-02-17,Selic,2023,12.75
2023-02-17,Selic,2024,10.0
2023-02-17,Selic,2025,9.0
2023-02-17,Selic,2026,8.75
2023-02-17,IGP-M,2023,4.58
2023-02-17,IGP-M,2024,4.14
2023-02-17,IGP-M,2025,4.0
2023-02-17,IGP-M,2026,4.0
2023-02-17,IPCA Administrados,2023,9.01
2023-02-17,IPCA Administrados,2024,4.39
2023-02-17,IPCA Administrados,2025,3.94
2023-02-17,IPCA Administrados,2026,3.96
2023-02-17,Conta Corrente,2023,-50.0
2023-02-17,Conta Corrente,2024,-50.25
2023-02-17,Conta Corrente,2025,-48.0
2023-02-17,Conta Corrente,2026,-45.4
2023-02-17,Balança Comercial,2023,57.85
2023-02-17,Balança Comercial,2024,56.75
2023-02-17,Balança Comercial,2025,57.9
2023-02-17,Balança Comercial,2026,55.0
2023-02-17,Investimento Direto,2023,80.0
2023-02-17,Investimento Direto,2024,80.0
2023-02-17,Investimento Direto,2025,83.6
2023-02-17,Investimento Direto,2026,82.5
2023-02-17,Dívida Líquida,2023,61.5
2023-02-17,Dívida Líquida,2024,64.0
2023-02-17,Dívida Líquida,2025,66.0
2023-02-17,Dívida Líquida,2026,67.65
2023-02-17,Resultado Primário,2023,-1.05
2023-02-17,Resultado Primário,2024,-0.8
2023-02-17,Resultado Primário,2025,-0.43
2023-02-17,Resultado Primário,2026,-0.18
2023-02-17,Resultado Nominal,2023,-7.85
2023-02-17,Resultado Nominal,2024,-7.17
2023-02-17,Resultado Nominal,2025,-5.8
2023-02-17,Resultado Nominal,2026,-5.6
2023-02-24,IPCA,2023,5.9
2023-02-24,IPCA,2024,4.02
2023-02-24,IPCA,2025,3.8
2023-02-24,IPCA,2026,3.75
2023-02-24,PIB,2023,0.84
2023-02-24,PIB,2024,1.5
2023-02-24,PIB,2025,1.8
2023-02-24,PIB,2026,2.0
2023-02-24,Câmbio,2023,5.25
2023-02-24,Câmbio,2024,5.3
2023-02-24,Câmbio,2025,5.3
2023-02-24,Câmbio,2026,5.35
2023-02-24,Selic,2023,12.75
2023-02-24,Selic,2024,10.0
2023-02-24,Selic,2025,9.0
2023-02-24,Selic,2026,8.5
2023-02-24,IGP-M,2023,4.54
2023-02-24,IGP-M,2024,4.17
2023-02-24,IGP-M,2025,4.0
2023-02-24,IGP-M,2026,4.0
2023-02-24,IPCA Administrados,2023,9.04
2023-02-24,IPCA Administrados,2024,4.43
2023-02-24,IPCA Administrados,2025,4.0
2023-02-24,IPCA Administrados,2026,4.0
2023-02-24,Conta Corrente,2023,-50.0
2023-02-24,Conta Corrente,2024,-50.25
2023-02-24,Conta Corrente,2025,-50.0
2023-02-24,Conta Corrente,2026,-45.7
2023-02-24,Balança Comercial,2023,57.35
2023-02-24,Balança Comercial,2024,54.5
2023-02-24,Balança Comercial,2025,58.05
2023-02-24,Balança Comercial,2026,54.4
2023-02-24,Investimento Direto,2023,80.0
2023-02-24,Investimento Direto,2024,80.0
2023-02-24,Investimento Direto,2025,83.6
2023-02-24,Investimento Direto,2026,82.5
2023-02-24,Dívida Líquida,2023,61.23
2023-02-24,Dívida Líquida,2024,64.0
2023-02-24,Dívida Líquida,2025,66.0
2023-02-24,Dívida Líquida,2026,67.47
2023-02-24,Resultado Primário,2023,-1.03
2023-02-24,Resultado Primário,2024,-0.8
2023-02-24,Resultado Primário,2025,-0.45
2023-02-24,Resultado Primário,2026,-0.18
2023-02-24,Resultado Nominal,2023,-7.85
2023-02-24,Resultado Nominal,2024,-7.2
2023-02-24,Resultado Nominal,2025,-6.0
2023-02-24,Resultado Nominal,2026,-5.64
2023-03-03,IPCA,2023,5.9
2023-03-03,IPCA,2024,4.02
2023-03-03,IPCA,2025,3.8
2023-03-03,IPCA,2026,3.77
2023-03-03,PIB,2023,0.85
2023-03-03,PIB,2024,1.5
2023-03-03,PIB,2025,1.8
2023-03-03,PIB,2026,2.0
2023-03-03,Câmbio,2023,5.25
2023-03-03,Câmbio,2024,5.3
2023-03-03,Câmbio,2025,5.3
2023-03-03,Câmbio,2026,5.35
2023-03-03,Selic,2023,12.75
2023-03-03,Selic,2024,10.0
2023-03-03,Selic,2025,9.0
2023-03-03,Selic,2026,8.75
2023-03-03,IGP-M,2023,4.11
2023-03-03,IGP-M,2024,4.17
2023-03-03,IGP-M,2025,4.0
2023-03-03,IGP-M,2026,4.0
2023-03-03,IPCA Administrados,2023,9.05
2023-03-03,IPCA Administrados,2024,4.4
2023-03-03,IPCA Administrados,2025,3.94
2023-03-03,IPCA Administrados,2026,4.0
2023-03-03,Conta Corrente,2023,-50.0
2023-03-03,Conta Corrente,2024,-51.5
2023-03-03,Conta Corrente,2025,-50.0
2023-03-03,Conta Corrente,2026,-45.7
2023-03-03,Balança Comercial,2023,57.0
2023-03-03,Balança Comercial,2024,55.0
2023-03-03,Balança Comercial,2025,58.2
2023-03-03,Balança Comercial,2026,55.0
2023-03-03,Investimento Direto,2023,80.0
2023-03-03,Investimento Direto,2024,80.0
2023-03-03,Investimento Direto,2025,80.0
2023-03-03,Investimento Direto,2026,80.0
2023-03-03,Dívida Líquida,2023,61.0
2023-03-03,Dívida Líquida,2024,64.0
2023-03-03,Dívida Líquida,2025,66.0
2023-03-03,Dívida Líquida,2026,67.4
2023-03-03,Resultado Primário,2023,-1.0
2023-03-03,Resultado Primário,2024,-0.75
2023-03-03,Resultado Primário,2025,-0.4
2023-03-03,Resultado Primário,2026,-0.18
2023-03-03,Resultado Nominal,2023,-7.85
2023-03-03,Resultado Nominal,2024,-7.35
2023-03-03,Resultado Nominal,2025,-6.2
2023-03-03,Resultado Nominal,2026,-5.85
2023-03-10,IPCA,2023,5.96
2023-03-10,IPCA,2024,4.02
2023-03-10,IPCA,2025,3.8
2023-03-10,IPCA,2026,3.79
2023-03-10,PIB,2023,0.89
2023-03-10,PIB,2024,1.5
2023-03-10,PIB,2025,1.8
2023-03-10,PIB,2026,1.98
2023-03-10,Câmbio,2023,5.25
2023-03-10,Câmbio,2024,5.3
2023-03-10,Câmbio,2025,5.3
2023-03-10,Câmbio,2026,5.35
2023-03-10,Selic,2023,12.75
2023-03-10,Selic,2024,10.0
2023-03-10,Selic,2025,9.0
2023-03-10,Selic,2026,8.75
2023-03-10,IGP-M,2023,4.11
2023-03-10,IGP-M,2024,4.17
2023-03-10,IGP-M,2025,4.0
2023-03-10,IGP-M,2026,4.0
2023-03-10,IPCA Administrados,2023,9.13
2023-03-10,IPCA Administrados,2024,4.4
2023-03-10,IPCA Administrados,2025,3.94
2023-03-10,IPCA Administrados,2026,4.0
2023-03-10,Conta Corrente,2023,-50.0
2023-03-10,Conta Corrente,2024,-51.5
2023-03-10,Conta Corrente,2025,-50.0
2023-03-10,Conta Corrente,2026,-45.7
2023-03-10,Balança Comercial,2023,57.0
2023-03-10,Balança Comercial,2024,55.0
2023-03-10,Balança Comercial,2025,58.2
2023-03-10,Balança Comercial,2026,55.0
2023-03-10,Investimento Direto,2023,80.0
2023-03-10,Investimento Direto,2024,80.0
2023-03-10,Investimento Direto,2025,80.0
2023-03-10,Investimento Direto,2026,80.0
2023-03-10,Dívida Líquida,2023,61.0
2023-03-10,Dívida Líquida,2024,64.0
2023-03-10,Dívida Líquida,2025,66.0
2023-03-10,Dívida Líquida,2026,67.2
2023-03-10,Resultado Primário,2023,-1.0
2023-03-10,Resultado Primário,2024,-0.75
2023-03-10,Resultado Primário,2025,-0.1
2023-03-10,Resultado Primário,2026,-0.18
2023-03-10,Resultado Nominal,2023,-7.85
2023-03-10,Resultado Nominal,2024,-7.4
2023-03-10,Resultado Nominal,2025,-6.2
2023-03-10,Resultado Nominal,2026,-5.85
2023-03-17,IPCA,2023,5.95
2023-03-17,IPCA,2024,4.11
2023-03-17,IPCA,2025,3.9
2023-03-17,IPCA,2026,4.0
2023-03-17,PIB,2023,0.88
2023-03-17,PIB,2024,1.47
2023-03-17,PIB,2025,1.7
2023-03-17,PIB,2026,1.8
2023-03-17,Câmbio,2023,5.25
2023-03-17,Câmbio,2024,5.3
2023-03-17,Câmbio,2025,5.3
2023-03-17,Câmbio,2026,5.4
2023-03-17,Selic,2023,12.75
2023-03-17,Selic,2024,10.0
2023-03-17,Selic,2025,9.0
2023-03-17,Selic,2026,9.0
2023-03-17,IGP-M,2023,4.08
2023-03-17,IGP-M,2024,4.2
2023-03-17,IGP-M,2025,4.0
2023-03-17,IGP-M,2026,4.0
2023-03-17,IPCA Administrados,2023,9.36
2023-03-17,IPCA Administrados,2024,4.5
2023-03-17,IPCA Administrados,2025,4.0
2023-03-17,IPCA Administrados,2026,4.0
2023-03-17,Conta Corrente,2023,-50.0
2023-03-17,Conta Corrente,2024,-50.69
2023-03-17,Conta Corrente,2025,-48.63
2023-03-17,Conta Corrente,2026,-46.0
2023-03-17,Balança Comercial,2023,55.0
2023-03-17,Balança Comercial,2024,54.8
2023-03-17,Balança Comercial,2025,55.0
2023-03-17,Balança Comercial,2026,53.8
2023-03-17,Investimento Direto,2023,80.0
2023-03-17,Investimento Direto,2024,80.0
2023-03-17,Investimento Direto,2025,80.0
2023-03-17,Investimento Direto,2026,80.0
2023-03-17,Dívida Líquida,2023,60.9
2023-03-17,Dívida Líquida,2024,64.5
2023-03-17,Dívida Líquida,2025,66.45
2023-03-17,Dívida Líquida,2026,68.3
2023-03-17,Resultado Primário,2023,-1.01
2023-03-17,Resultado Primário,2024,-0.8
2023-03-17,Resultado Primário,2025,-0.5
2023-03-17,Resultado Primário,2026,-0.23
2023-03-17,Resultado Nominal,2023,-7.8
2023-03-17,Resultado Nominal,2024,-7.42
2023-03-17,Resultado Nominal,2025,-6.4
2023-03-17,Resultado Nominal,2026,-6.0
2023-03-24,IPCA,2023,5.93
2023-03-24,IPCA,2024,4.13
2023-03-24,IPCA,2025,4.0
2023-03-24,IPCA,2026,4.0
2023-03-24,PIB,2023,0.9
2023-03-24,PIB,2024,1.4
2023-03-24,PIB,2025,1.71
2023-03-24,PIB,2026,1.78
2023-03-24,Câmbio,2023,5.25
2023-03-24,Câmbio,2024,5.3
2023-03-24,Câmbio,2025,5.3
2023-03-24,Câmbio,2026,5.4
2023-03-24,Selic,2023,12.75
2023-03-24,Selic,2024,10.0
2023-03-24,Selic,2025,9.0
2023-03-24,Selic,2026,9.0
2023-03-24,IGP-M,2023,4.0
2023-03-24,IGP-M,2024,4.2
2023-03-24,IGP-M,2025,4.0
2023-03-24,IGP-M,2026,4.0
2023-03-24,IPCA Administrados,2023,9.48
2023-03-24,IPCA Administrados,2024,4.4
2023-03-24,IPCA Administrados,2025,4.0
2023-03-24,IPCA Administrados,2026,4.0
2023-03-24,Conta Corrente,2023,-50.4
2023-03-24,Conta Corrente,2024,-51.39
2023-03-24,Conta Corrente,2025,-50.2
2023-03-24,Conta Corrente,2026,-46.78
2023-03-24,Balança Comercial,2023,55.0
2023-03-24,Balança Comercial,2024,52.44
2023-03-24,Balança Comercial,2025,55.0
2023-03-24,Balança Comercial,2026,53.8
2023-03-24,Investimento Direto,2023,80.0
2023-03-24,Investimento Direto,2024,80.0
2023-03-24,Investimento Direto,2025,80.0
2023-03-24,Investimento Direto,2026,80.0
2023-03-24,Dívida Líquida,2023,61.0
2023-03-24,Dívida Líquida,2024,64.5
2023-03-24,Dívida Líquida,2025,66.9
2023-03-24,Dívida Líquida,2026,68.3
2023-03-24,Resultado Primário,2023,-1.02
2023-03-24,Resultado Primário,2024,-0.8
2023-03-24,Resultado Primário,2025,-0.5
2023-03-24,Resultado Primário,2026,-0.28
2023-03-24,Resultado Nominal,2023,-7.8
2023-03-24,Resultado Nominal,2024,-7.4
2023-03-24,Resultado Nominal,2025,-6.4
2023-03-24,Resultado Nominal,2026,-6.0
2023-03-31,IPCA,2023,5.96
2023-03-31,IPCA,2024,4.13
2023-03-31,IPCA,2025,4.0
2023-03-31,IPCA,2026,4.0
2023-03-31,PIB,2023,0.9
2023-03-31,PIB,2024,1.48
2023-03-31,PIB,2025,1.8
2023-03-31,PIB,2026,1.8
2023-03-31,Câmbio,2023,5.25
2023-03-31,Câmbio,2024,5.3
2023-03-31,Câmbio,2025,5.3
2023-03-31,Câmbio,2026,5.4
2023-03-31,Selic,2023,12.75
2023-03-31,Selic,2024,10.0
2023-03-31,Selic,2025,9.0
2023-03-31,Selic,2026,8.75
2023-03-31,IGP-M,2023,3.7
2023-03-31,IGP-M,2024,4.2
2023-03-31,IGP-M,2025,4.0
2023-03-31,IGP-M,2026,4.0
2023-03-31,IPCA Administrados,2023,9.65
2023-03-31,IPCA Administrados,2024,4.4
2023-03-31,IPCA Administrados,2025,4.0
2023-03-31,IPCA Administrados,2026,4.0
2023-03-31,Conta Corrente,2023,-50.84
2023-03-31,Conta Corrente,2024,-52.5
2023-03-31,Conta Corrente,2025,-50.2
2023-03-31,Conta Corrente,2026,-50.89
2023-03-31,Balança Comercial,2023,55.0
2023-03-31,Balança Comercial,2024,52.44
2023-03-31,Balança Comercial,2025,55.0
2023-03-31,Balança Comercial,2026,53.8
2023-03-31,Investimento Direto,2023,80.0
2023-03-31,Investimento Direto,2024,80.0
2023-03-31,Investimento Direto,2025,80.0
2023-03-31,Investimento Direto,2026,80.0
2023-03-31,Dívida Líquida,2023,61.15
2023-03-31,Dívida Líquida,2024,64.5
2023-03-31,Dívida Líquida,2025,66.9
2023-03-31,Dívida Líquida,2026,68.3
2023-03-31,Resultado Primário,2023,-1.01
2023-03-31,Resultado Primário,2024,-0.8
2023-03-31,Resultado Primário,2025,-0.5
2023-03-31,Resultado Primário,2026,-0.3
2023-03-31,Resultado Nominal,2023,-7.8
2023-03-31,Resultado Nominal,2024,-7.1
2023-03-31,Resultado Nominal,2025,-6.59
2023-03-31,Resultado Nominal,2026,-6.0
2023-04-06,IPCA,2023,5.98
2023-04-06,IPCA,2024,4.14
2023-04-06,IPCA,2025,4.0
2023-04-06,IPCA,2026,4.0
2023-04-06,PIB,2023,0.91
2023-04-06,PIB,2024,1.44
2023-04-06,PIB,2025,1.76
2023-04-06,PIB,2026,1.8
2023-04-06,Câmbio,2023,5.25
2023-04-06,Câmbio,2024,5.27
2023-04-06,Câmbio,2025,5.3
2023-04-06,Câmbio,2026,5.35
2023-04-06,Selic,2023,12.75
2023-04-06,Selic,2024,10.0
2023-04-06,Selic,2025,9.0
2023-04-06,Selic,2026,8.75
2023-04-06,IGP-M,2023,3.7
2023-04-06,IGP-M,2024,4.25
2023-04-06,IGP-M,2025,4.0
2023-04-06,IGP-M,2026,4.0
2023-04-06,IPCA Administrados,2023,9.79
2023-04-06,IPCA Administrados,2024,4.5
2023-04-06,IPCA Administrados,2025,4.0
2023-04-06,IPCA Administrados,2026,4.0
2023-04-06,Conta Corrente,2023,-50.84
2023-04-06,Conta Corrente,2024,-52.5
2023-04-06,Conta Corrente,2025,-50.2
2023-04-06,Conta Corrente,2026,-46.78
2023-04-06,Balança Comercial,2023,55.0
2023-04-06,Balança Comercial,2024,52.44
2023-04-06,Balança Comercial,2025,55.0
2023-04-06,Balança Comercial,2026,51.9
2023-04-06,Investimento Direto,2023,80.0
2023-04-06,Investimento Direto,2024,80.0
2023-04-06,Investimento Direto,2025,80.0
2023-04-06,Investimento Direto,2026,80.0
2023-04-06,Dívida Líquida,2023,61.15
2023-04-06,Dívida Líquida,2024,64.5
2023-04-06,Dívida Líquida,2025,66.9
2023-04-06,Dívida Líquida,2026,68.45
2023-04-06,Resultado Primário,2023,-1.01
2023-04-06,Resultado Primário,2024,-0.8
2023-04-06,Resultado Primário,2025,-0.5
2023-04-06,Resultado Primário,2026,-0.3
2023-04-06,Resultado Nominal,2023,-7.8
2023-04-06,Resultado Nominal,2024,-7.1
2023-04-06,Resultado Nominal,2025,-6.4
2023-04-06,Resultado Nominal,2026,-5.85
2023-04-14,IPCA,2023,6.01
